evaluation,scenario,perturbation_kind,perturbation_level,metric,mean,std,n_seeds,mean_std
temporal,length_noise_sigma_2_0cm,length_noise_cm,2.0,lift@20%,1.4012,0.22256504667175395,5,1.4012 ± 0.2226
temporal,length_missing_plus_10pct,length_missing_fraction,0.1,lift@20%,2.1079999999999997,0.2042400548374387,5,2.1080 ± 0.2042
temporal,length_missing_plus_20pct,length_missing_fraction,0.2,lift@20%,2.0148,0.24013163056956913,5,2.0148 ± 0.2401
temporal,length_missing_plus_30pct,length_missing_fraction,0.3,lift@20%,1.8001999999999998,0.28884372937628394,5,1.8002 ± 0.2888
temporal,current_measurement_missing,current_measurement_missing,1.0,lift@20%,1.525,0.3590389950966329,5,1.5250 ± 0.3590
grouped,baseline,none,0.0,n_intended,240.0,0.0,5,240.0000 ± 0.0000
grouped,length_noise_sigma_0_5cm,length_noise_cm,0.5,n_intended,240.0,0.0,5,240.0000 ± 0.0000
grouped,length_noise_sigma_1_0cm,length_noise_cm,1.0,n_intended,240.0,0.0,5,240.0000 ± 0.0000
grouped,length_noise_sigma_2_0cm,length_noise_cm,2.0,n_intended,240.0,0.0,5,240.0000 ± 0.0000
grouped,length_missing_plus_10pct,length_missing_fraction,0.1,n_intended,240.0,0.0,5,240.0000 ± 0.0000
grouped,length_missing_plus_20pct,length_missing_fraction,0.2,n_intended,240.0,0.0,5,240.0000 ± 0.0000
grouped,length_missing_plus_30pct,length_missing_fraction,0.3,n_intended,240.0,0.0,5,240.0000 ± 0.0000
grouped,current_measurement_missing,current_measurement_missing,1.0,n_intended,240.0,0.0,5,240.0000 ± 0.0000
temporal,baseline,none,0.0,n_intended,1064.4,8.905054744357258,5,1064.4000 ± 8.9051
temporal,length_noise_sigma_0_5cm,length_noise_cm,0.5,n_intended,1064.4,8.905054744357258,5,1064.4000 ± 8.9051
temporal,length_noise_sigma_1_0cm,length_noise_cm,1.0,n_intended,1064.4,8.905054744357258,5,1064.4000 ± 8.9051
temporal,length_noise_sigma_2_0cm,length_noise_cm,2.0,n_intended,1064.4,8.905054744357258,5,1064.4000 ± 8.9051
temporal,length_missing_plus_10pct,length_missing_fraction,0.1,n_intended,1064.4,8.905054744357258,5,1064.4000 ± 8.9051
temporal,length_missing_plus_20pct,length_missing_fraction,0.2,n_intended,1064.4,8.905054744357258,5,1064.4000 ± 8.9051
temporal,length_missing_plus_30pct,length_missing_fraction,0.3,n_intended,1064.4,8.905054744357258,5,1064.4000 ± 8.9051
temporal,current_measurement_missing,current_measurement_missing,1.0,n_intended,1064.4,8.905054744357258,5,1064.4000 ± 8.9051
grouped,baseline,none,0.0,n_scored,240.0,0.0,5,240.0000 ± 0.0000
grouped,length_noise_sigma_0_5cm,length_noise_cm,0.5,n_scored,240.0,0.0,5,240.0000 ± 0.0000
grouped,length_noise_sigma_1_0cm,length_noise_cm,1.0,n_scored,240.0,0.0,5,240.0000 ± 0.0000
grouped,length_noise_sigma_2_0cm,length_noise_cm,2.0,n_scored,240.0,0.0,5,240.0000 ± 0.0000
grouped,length_missing_plus_10pct,length_missing_fraction,0.1,n_scored,240.0,0.0,5,240.0000 ± 0.0000
grouped,length_missing_plus_20pct,length_missing_fraction,0.2,n_scored,240.0,0.0,5,240.0000 ± 0.0000
grouped,length_missing_plus_30pct,length_missing_fraction,0.3,n_scored,240.0,0.0,5,240.0000 ± 0.0000
grouped,current_measurement_missing,current_measurement_missing,1.0,n_scored,240.0,0.0,5,240.0000 ± 0.0000
temporal,baseline,none,0.0,n_scored,1064.4,8.905054744357258,5,1064.4000 ± 8.9051
temporal,length_noise_sigma_0_5cm,length_noise_cm,0.5,n_scored,1064.4,8.905054744357258,5,1064.4000 ± 8.9051
temporal,length_noise_sigma_1_0cm,length_noise_cm,1.0,n_scored,1064.4,8.905054744357258,5,1064.4000 ± 8.9051
temporal,length_noise_sigma_2_0cm,length_noise_cm,2.0,n_scored,1064.4,8.905054744357258,5,1064.4000 ± 8.9051
temporal,length_missing_plus_10pct,length_missing_fraction,0.1,n_scored,1064.4,8.905054744357258,5,1064.4000 ± 8.9051
temporal,length_missing_plus_20pct,length_missing_fraction,0.2,n_scored,1064.4,8.905054744357258,5,1064.4000 ± 8.9051
temporal,length_missing_plus_30pct,length_missing_fraction,0.3,n_scored,1064.4,8.905054744357258,5,1064.4000 ± 8.9051
temporal,current_measurement_missing,current_measurement_missing,1.0,n_scored,1064.4,8.905054744357258,5,1064.4000 ± 8.9051
grouped,baseline,none,0.0,coverage,1.0,0.0,5,1.0000 ± 0.0000
grouped,length_noise_sigma_0_5cm,length_noise_cm,0.5,coverage,1.0,0.0,5,1.0000 ± 0.0000
grouped,length_noise_sigma_1_0cm,length_noise_cm,1.0,coverage,1.0,0.0,5,1.0000 ± 0.0000
grouped,length_noise_sigma_2_0cm,length_noise_cm,2.0,coverage,1.0,0.0,5,1.0000 ± 0.0000
grouped,length_missing_plus_10pct,length_missing_fraction,0.1,coverage,1.0,0.0,5,1.0000 ± 0.0000
grouped,length_missing_plus_20pct,length_missing_fraction,0.2,coverage,1.0,0.0,5,1.0000 ± 0.0000
grouped,length_missing_plus_30pct,length_missing_fraction,0.3,coverage,1.0,0.0,5,1.0000 ± 0.0000
grouped,current_measurement_missing,current_measurement_missing,1.0,coverage,1.0,0.0,5,1.0000 ± 0.0000
temporal,baseline,none,0.0,coverage,1.0,0.0,5,1.0000 ± 0.0000
temporal,length_noise_sigma_0_5cm,length_noise_cm,0.5,coverage,1.0,0.0,5,1.0000 ± 0.0000
temporal,length_noise_sigma_1_0cm,length_noise_cm,1.0,coverage,1.0,0.0,5,1.0000 ± 0.0000
temporal,length_noise_sigma_2_0cm,length_noise_cm,2.0,coverage,1.0,0.0,5,1.0000 ± 0.0000
